,Messages,Time Stamp,Spam
148,This stock is expected to stay on the upward trajectory from a short to medium-term perspective for more info,01-02-2022 17.42,
149,Tomorrow be ready all operator for strong upper circuit be ready for retailer buying opportunity........bnfs.at/891c,01-02-2022 11.29,
150,BUY BHARTI FOR 250 PROFIT ACHIEVING POINT WITH ANALYST TELGRRM.......... bnfs.at/891c,01-02-2022 11.29,
151,Buy HCL Tech with target of 1117 & Stop loss at 1096...visit goyaltips,01-02-2022 11.04,
152,Buy HCL Tech with target of 1123 & Stop loss at 1101...visit goyaltips,01-02-2022 10.00,
153,This stock is expected to stay on the upward trajectory from a short to medium-term perspective for more info v.gd/GjmAyK,01-02-2022 9.56,
154,Impact of Covid left an strong impact on PHARMA sector the charts and volume bar reflects same. To know more for more info v.gd/GjmAyK,01-02-2022 9.40,
155,IT SECTOR HAVING GOOD STRENGTH FOR MAKE PROFIT KEEP TGT AROUND 1120 - 1140 -1180 SL 1050,01-02-2022 9.14,
156,IT SECTOR HAVING GOOD STRENGTH FOR MAKE PROFIT KEEP TGT AROUND 1120 - 1140 -1180 SL 1050,01-02-2022 9.14,
157,Profit booking would be seen now in this stock now book ur profit....wait to reenter at lower levels..,01-02-2022 7.46,
158,Buy hcl tech above 1110 target open 1248 1294 1450 1600 1800 .last chance to buy n hold for 6 month target 1800,01-02-2022 7.31,
159,Buy HCL Tech as it is in over sold territories due to panic selling after very good results. Buy HCL Tech for a target of Rs.1500.,31-01-2022 15.13,
160,Stock Market latest news for more info v.gd/GjmAyK,31-01-2022 14.40,
161,what will be intraday target for hcl tech today ??? will it cross 1120 for today ??,31-01-2022 14.16,
162,Huge correction done in good fundamentally strong stocks buy in every dips for investment for more info v.gd/GjmAyK,31-01-2022 13.25,
163,HCL tech mein daba ke maal utha lo mitron aaisa mauka dobara nahi milega buy 1100-1120 for a target of 1550-1600 in few sessions,31-01-2022 12.08,
164,jay ka Jackpot recommended HCL to buy. Is it good till Feb expiry?,31-01-2022 11.59,
165,hcltech look bullish 1118 buy point for intraday,31-01-2022 11.21,
166,Are you also remained confused about when to buy and sell a stock. But the technical charts of tllgram chnnl A1FUTURE,31-01-2022 10.56,
167,The daily price action has formed a small bearish candle should consider Reliance cautiously to know exact target point for more info v.gd/GjmAyK,31-01-2022 10.56,
168,Short Term pick : buy HCL tech at 1110 Target 1300,31-01-2022 10.55,
169,Friends - Important lesson - Often we are unhappy because others are happy. Comparisons and jealousy will not let us enjoy our own wealth :),25-01-2022 13.04,
170,HCL TECH SHOWING GOOD STRENGTH STRONG LEVELS KEEP HOLD FOR LONG TURM..,29-01-2022 22.32,
