,Messages,Time Stamp,Spam
137,ITC The technical trend has improved from Sideways on 28-Jan-22 and has generated 6.83% returns since then. BUY GCMSEC 7.84 We have started suggesting to Buy from 5.55 now it has reached 7.84 It has given a 40% return in just 8 days,07-02-2022 11.16,
138,This always ready to follow market when it falls and seldom when it moves up. A 4kCR profit not moving the stock by 10 Rs reflects only on the management nothing else. He is saying he is trying to increase shareholder wealth for 4 years now...&nbsp,07-02-2022 11.08,
139,ITC WILL START ITS UPWARD JOURNEY FOR POSITIVE TARGET OF RS 280 BUY /HOLD,07-02-2022 11.02,
140,"dividend income will be added to income of the individual and tax is applicable as per tax rates. TDS will be deducted while dividend is being paid, unless you notify them not to deduct TDS.",07-02-2022 10.48,
141,To know the stocks details and updates for more info v.gd/GjmAyK,07-02-2022 10.27,
142,Is dividend income tax free for individuals? ITC will be ex dividend on 14th Feb. Does it means 5.25 Rs gain without any tax cut?,07-02-2022 10.26,
143,"Bharti airtel cmp 732 for tomorrow morning 740/760/770 , For AnyTips OrHelp wtzp... 73OO7 :311 :44",07-02-2022 8.09,
144,This stock is a very good choice to your portfolio ...buy at current levels for Good investment...,07-02-2022 8.04,
145,Profit booking would be seen now in this stock now book ur profit....wait to reenter at lower levels.,07-02-2022 7.58,
146,results great but its not reflected bcoz of weak global clue last week,07-02-2022 2.10,
147,dividend anouned so it will move upward till ex date,07-02-2022 0.58,
148,can ITC gain eighy percent this week closing,07-02-2022 0.27,
149,"Abay pagal ho gaye bhai, ITC already 230/- per ho , kya reco De rahay ho",07-02-2022 0.09,
150,if tomorrow market positive then Itc could be tested 240 -245 levels,06-02-2022 21.11,
151,Valentine week started.. girls will ditch boys and boys will smoke more and hence ITC cigarettes sales will go up.. buy recommended,06-02-2022 23.36,
152,our mind works as a flip flop circuit . it depends how smart money arrives at its goal .,06-02-2022 23.42,
153,"perfect level and FII being a low holding in ITC compared to DII and public, may start buying in bulk. happy trading.. enjoy 280-300 in coming session.. long pending wait now over",06-02-2022 20.41,
154,"do not be trapped by investing in ITC....This share, for last 5 years, is stable at 217 rs level. It goes sometimes upto 237 and returns to 217. It goes sometimes up to 263 rs and returns to 217 rs. Currently, ITC LTP is 235 so any time ITC...&nbsp",06-02-2022 20.13,
155,Technically looking very week in upcoming session so stay away for sometime,06-02-2022 19.51,
156,Will see more downtrend in upcoming session so he ready for come out from stock,06-02-2022 19.51,
157,"brokerage and investment firm JM Financial has given a buy call for shares such as ITC, GAIL, Mahindra & Mahindra Financial, Welspun India, Apollo Tyres, Blue Star, V Guard Industries, JK Lakshmi Cement and Somany Ceramics. ForITCstocks...&nbsp",06-02-2022 19.50,
158,"Sharp upward trend will be seen in itc..well professionally managed, good corporate governance, good quality products, good brand leaders . target rs 350 to 500/- in coming seasons.......",06-02-2022 18.56,
159,"Excellent thunder results. net profit for the quarter rs 4127 crore.... estimated eps for this fy approx rs 14/- ...target rs 350/-...,well done excellent......",06-02-2022 18.55,
160,"Yes, i agree, itc has more than 450 plus targets in the short term and rs 1200/- to 1500/- in medium to long term!.........",06-02-2022 18.15,
161,Strong movement will start after this week so stay hold your horses of this stock very tightly,06-02-2022 17.57,
162,"Although range-bound in the last few months, ITC is one of the few stocks that proves to be resilient enough in a falling market. Brokerages think that the stock can now soar up to 28% on strong Q3 numbers. In todays special podcast with in...&nbsp",06-02-2022 17.25,
163,"All brokerage houses given 250 targets, lets see where it goes",05-02-2022 19.55,
164,Paint secter is good for long -term investors but not this month wait for sometime,05-02-2022 16.41,
165,Buy Whirlpool India .But why?? 1)MNC company incorporated in 1911 and doing business in India since 1960. USA promoter holding 75% stake.2)US parent company is around life high and this is down 40% from the top of 2787 at 1800 which is near...&nbsp,05-02-2022 16.24,
166,"If nifty support in Monday, ITC will touch 245",05-02-2022 15.55,
167,When shameless liers are there nothing big is possible and can be expected here. Karma is not believed by them..,05-02-2022 15.38,
168,Keep adding this gem.. DII might take this down to any extend.. keep your holdings tight..,05-02-2022 14.59,
169,"itc 281 high show kar raha hai, 20% Circuit, Monday ko ho sakta hai",05-02-2022 14.44,
170,if market positive on Monday then Itc will be tested 240-245 levels,05-02-2022 14.31,
171,"Yes, i agree, itc has more than 450 plus targets in the short term and rs 1200/- to 1500/- in medium to long term!......",05-02-2022 14.04,
172,"Excellent thunder results. net profit for the quarter rs 4127 crore.... estimated eps for this fy approx rs 14/- ...target rs 350/-...,well done excellent...",05-02-2022 13.49,
173,"Ye accha hai, public ko saal mein 5-10 rs dividend ka lollipop de do, baaki kuch value add nahi karna. aur khud ko crores ka salary.",04-02-2022 21.51,
174,itc will trade above 265 in 1 month time.,04-02-2022 21.43,
175,due to weak market and worst global market positive results impact not seen today,04-02-2022 21.33,
176,results impact seen on Monday... if market positive then Itc will be tested 240 -45 levels,04-02-2022 21.32,
177,"dividend, super results, no budget impact.. heavy DII holding ( who is on buy side currently), heavy public holding.. uptrend is confirmed.. but delayed by a day Or 2. just have faith and patience.",04-02-2022 21.28,
178,all time high possible in coming week,04-02-2022 21.16,
